square_id,latitude,longitude,speed,svr1,upload_bitrate_mbps,download_bitrate_mbps,measurement_count
square_103079215125,-37.73100026388889,144.7450577361111,21.253063277777777,22.44126984126984,9.79392243756056,18.67097541373448,72
square_103079215126,-37.72890937950938,144.74963177344878,39.26202318614718,85.73648648648648,10.785511811023625,25.068062992125984,693
square_103079215128,-37.72499307692308,144.7595965769231,42.09599561538461,180.10444444444445,3.230769230769231,24.032884615384617,52
square_103079215130,-37.72785366916859,144.76633186008468,7.673896016936105,271.6272244048995,8.631187451886067,14.875868956438843,5196
square_103079215132,-37.72784464522848,144.77258260630126,7.794407105324828,235.60071942446044,9.3857336284338,16.59647211615919,7681
square_103079215134,-37.72800845227129,144.78031811875732,15.950291377585115,76.80733070698466,12.23529900492706,16.921843300164234,11073
square_103079215136,-37.72966523318022,144.7875924512294,14.06883184220481,28.935802907915992,14.126847168774052,14.085501998221892,3701
square_103079215138,-37.72832478997472,144.79489377048938,12.378085655213448,40.54829340793845,13.882701807228916,22.827452410226844,6723
square_103079215140,-37.728391152,144.8012439696296,9.829588498962964,51.68909578146611,12.35694826555024,28.4670110645933,6750
square_103079215142,-37.7296605625599,144.8095459482483,11.556194636992863,108.36702899476306,10.498776916451336,21.876521498674364,9391
square_103079215144,-37.73010272368421,144.81549877468672,14.539969843609024,324.072007569784,6.648396166939857,19.35410134332445,7980
square_103079215147,-37.7292079464181,144.82353616109742,11.627544772892485,174.76592828464626,10.573709125250856,24.782767136129884,8529
square_103079215151,-37.72591067467427,144.83714770114008,8.692070928338763,39.8118904507998,12.41085596707819,15.551078189300412,2456
square_103079215153,-37.725453571428574,144.84588673195876,60.05624959646539,48.64899317406144,13.913405676126876,23.489866444073456,679
square_103079215155,-37.72729514117309,144.84985848974506,37.904107274678935,55.71214798206278,13.741805220883537,26.901516929044305,10434
square_103079215157,-37.725784366666666,144.85826025833333,40.142300633333335,56.19528846153847,5.027833333333334,20.154166666666665,120
square_103079215158,-37.7248474,144.86353200000002,100.533968,93.16,8.4,51.94,5
square_103079215180,-37.72180987201365,144.75112826279863,45.62557176109215,98.26659877800408,10.48499061913696,27.35932457786116,586
square_103079215182,-37.724470571428576,144.7554042857143,60.40562571428571,454.2,0.0,19.11428571428572,7
square_103079215184,-37.72114298262402,144.76716533694284,8.019729451523546,413.3604126984127,4.164145051624276,18.952409657517,3971
