column,cap_type,cap_value,train_clipped,train_clipped_pct,test_clipped,test_clipped_pct,train_max_before,train_max_after,test_max_before,test_max_after
svr1,latency,305.94,1,0.48,0,0.0,307.46,305.94,285.87,285.87
target_latency,latency,305.94,3,1.44,0,0.0,387.86,305.94,292.64,292.64
latency_lag_1h,latency,305.94,0,0.0,0,0.0,296.82,296.82,272.33,272.33
latency_rolling_3h,latency,305.94,0,0.0,0,0.0,300.25,300.25,231.69,231.69
latency_rolling_6h,latency,305.94,0,0.0,0,0.0,264.22,264.22,246.58,246.58
upload_bitrate_mbps,throughput,107.91,0,0.0,0,0.0,30.14,30.14,32.16,32.16
download_bitrate_mbps,throughput,107.91,0,0.0,0,0.0,83.32,83.32,89.52,89.52
target_throughput,throughput,107.91,3,1.44,1,1.54,113.47,107.91,114.69,107.91
throughput_lag_1h,throughput,107.91,1,0.48,0,0.0,109.83,107.91,107.6,107.6
throughput_rolling_3h,throughput,107.91,0,0.0,0,0.0,94.9,94.9,83.78,83.78
throughput_rolling_6h,throughput,107.91,0,0.0,0,0.0,84.95,84.95,78.05,78.05
